FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
DONE,DATE,ATTENDEES,ITEMS / PROJ,DETAILS (RED PRIORITY),OWNER (OF ACTION IN THE PLANT),ACTION TO BE TAKEN,ACTION DUE DATE,PROJ DUE DATE,ISSUE / CAUSE OF DELAY,REMARKS,LINK,DAYS DUE
FALSE,,,POWER PROTECTION,ENSURE all critical Machines have UPS/KVR ,,"Canvasing AVR/Transformer - facebook. Have a requirements document/ Invitation to Bid. This will be shared in all communications channels-   break it up into BIDDING projects. 
240731- Requirements and Invite to BID. 
240807 Inventory of machines to be Protected - Spreadsheet with Specificaiton. 2 Rover, 2 LFK, and the Laser Turret.  ESCO/EDD for quote - 
240821 - Quotation on Going. 
240828 - 2 quotations. 30KVA units. 130k per machine. For quote Capacitor banks for Solar. Include in the Solar expansion Scope. 
240904 -follow up quotations. 
240912- 3 quotations. AVR - check Eaton AVRs. JB Indiustrial. based on the Capacity Bank. Double check carlito
241008 - total 3 Quotations. Cadwill quotations. 
241016 - Cadwill will https://chargeups.ph/products/ 
241023 - TVSS  TVSS (Transient Voltage Surge Suppressor) - for PR
241106 - waiting for quotation of TVSS
241120 - 1 quotation so far. Coordinate SPLD for other suppliers.
241127 - get the name of the TVSS - whats the rating. 
241211 - Try Digikey, need load schedule. per panel. 
241218 - Schedule EDD/PID
250115 - Follow up PID. 
250122 - PID came last week, following up Findings and REsults - for recommendation
250212 - Reschedule - written instruction to Jiessel and DJ 
250219 - VISIT Feb 16 visit. Metal 50% done
250226 - CAD ongoing. Target this week https://chatgpt.com/share/67bec8e8-c178-800e-9a6b-a79d67aa2d22
250305 - EDD has given the As Built - for feedback and correction (revisions)
250312 - for revisions
250326 - Follow up revisions, Ongoing ARF, - this should be NC and it should be in their scorring of work. It should reflect in their ARF score
250411 - as built has missing load schedule - EDD will measure the load per panel. 
250423 - For schedule
250430 - PID - for schedule for load calculation. 
250507 - Load schedule done. Waiting for EDD
250514 -Load Schedule per Panel for Quoting the Electrical Works from EDD
250521 - for NCO creation. for ARF. 
250528 - NCO done. PID - for schedule - GET the person assigned, and use SYNX to check their schedule. Send screen of the availability 
250604 - PID visited - load scheduing Due- for follow up. 
250611 - Follow up EDD (email)
250625 - Follow up EDD, waiting for items
250702 - Follow up EDD, waiting for items - `
250709 - follow up for PID.  Synx can schedule
250716 - PID done - load schedule should go to EDD
250723 - follow up of EDD
250730 - EDD passed electrical plan - they were incorrect - failing to incorporate the previous discussions. Returned. 
Power Protection Plans - update with Solar and Batteries. 
250806 - Email them for Timeline - cc Mgt. 
250813 - for Printing of the Electrical. have it part of the Blender File. Apply the correct color coding in Model and in Real Life
250826 - Single Line done, Load Schedule for TVSS - each panel of Load Sched and High/Low Load - to order the capacity of the TVSS
250905 - Pro-tech will install. Talk to SPLD for who is the supplier - For PR 
250919 - Talked to supplier, waiting for quotation
250926 -  follow up 
251008 - follow up supplier 
251015 - waiting for another supplier of TVSS
251022 - for PR
251029 - TVSS supplier PR. Every panel board. Document Special Instructions. 
251105 - carlito evaluation - ask for timeline 
251112 - pull out TVSS, push the PO
251120 - follow up SPLD PO - for sending, 251120 Machine Checklist for Power protection
251126 - what machines need power protection - servo motored machines. Waiting for Delivery and PID. 
251204 -follow up PID. 
251210 - FOllow up PID. 
260107 - Follow up PID
260206 - for follow up PID
260220 - for follow up PID
260220 - for follow up PID; contact electrical dept.
260306 - for follow up sir Deejay
260318 - create Viber Group for Concerns
260325 - for follow up with sir Jeff
260408 - Plant visit for the various ME Projects on April 10, 2026
260415 - follow up sir Jeff for installation of power protection
260422 - follow up sir Jeff for installation of power protection",2026-04-29,,,"James Michael Santos ""JM""
0917-770-4153 
jmsantos@powerlinesdigital.com 
Example
Name: Myrna Borja
Position: Product Manager - ChargeUPS
Email: m.borja@mec.ph
Phone Numbers: 0917 7056 080 / 0917 172 3220
Website: www.mec.ph/chargeups
Facebook: facebook.com/mecph
Twitter: twitter.com/mecph
LinkedIn: linkedin.com/company/mec.ph ",,
TRUE,,,NEW PANEL SAW 2025,Purchase of new panel saw,,"250108 - DP done. For release Next Week 250115, arrival Feb 1
250115 - delayed - shipping cut off. Feb 21. 
250219 - Follow up SPLD
250226 - 2nd Week of March - Week of March 10. 
250312 - Already set up, Not Energized, for installation
250326 -Energized (Jan 8 to march 26)",2025-03-19,,,,,
TRUE,,,BINANGONAN HOUSE,Fixing Up BH according to CNA,,"Waiting for CAD operator. 
Just call them in the phone - Denmark? - once theyre onboard - basic requiremetns of measurement. 
When are they starting. 
240731 - emailed May Villegas of PUP for CE OJTS. If any remain. 
240807 Follow up Applicants, CE for this project. 
24081 - meeting with JRU and RTU for CEs 
240828 JRU meeting moved. Rodel was able to get a Sanitary OJT. WEM and dole requiremens. Coordinate with mike for the PC for the CAD operator.  
240904 coordinate with Mike for CAD hardware. 
241008 CIVIL contractor. https://drive.google.com/file/d/1K5SnybpV31-dhb2MMtuNesUGTD_P_2C2/view?usp=drive_link
241016 - Francis is he intered in Part time (Batangas State)
241023 - ??? no available personnel for this
250108 - Waiting for OJTs
250115- waiting on OJT equipment - Will be Under TC/Calbayog",2025-01-22,,,,,
TRUE,,,BIOREACTOR,DEVELOPING bio-reactor to reduce CO2. Converting 30% of the 42 tons per year of Diesel,,"FIND A UNIVERSITY team who is willing to partner building it with us. 
DLSU, NU, Cornersteel Systems Corporation - Proposal - November 5, 2024.pdfand PUP. 240620 Algae Bio-reactor Capstone Project Proposal 
240731 - Contact PUP - 
240807 - Conact PUP when they will be available 
240821 - waiting for response, will share with School partners. 
240828 - follow up school partners
240904 - follow up school partners 
241016  follow up DLSU
241023 - call DLSU - more aggresive asking. 
241120 - Discuss with CNA. 

https://drive.google.com/file/d/1U-uutK2ZoYGKr6r_MyDa4XuiuJvIfMP0/view?usp=sharing
241211 - Carbon Environmental - Footprint - Identify Stakeholders - consolidate all requirements for review. 
250108 - Scheduled for Jan 23
250122 - Jan 23 visit scheduled - TC vehicles used
250205 - waiting for proposal
250312 follow up DLSU
250326 - DOST rates, budget arleady approved - ROWI following up all. Iggy and ROWI - green initiatives: PBR, MEA, Greenlabeling, Miliken recycling 
250411 - Partners with UPLB https://next.comfaccorp.com/s/Pib5dAP4bf6jeS4 - just making the TOR
250423 - submisison of TOR for feedback
250430 - TOR draft set - waiting for Feedback. 
250514 - follow Rowi
250521 - MOA, TOR, update and then asking for NCO for this project. 
250528 - MOA draft done. for submission. 
250604 - approved - mobilizing
250625 - contract signing, for quotation - 10x10 plus path. 
250702 - LAB ONGOING
250709 - LAB - buiilding out the LAB. Hiring RA (Chem ENG), and buying LAB supplies. 
250716 - LAB moved to Room-12 and 13. Ready by Friday to move in Equipment. 
250723 - Painting ongoing, Lab equipment can be moved by Thursday. Zackary practice by Friday, and Monday, Tuesday, and Wed. 
250730 - Lab is mostly done - Spectrometer for Purchase and Innoculation Ongoing. No need to have ducting. Gasket for Doors. In out Filtered FAN (HEPA filtered)
250806 - Started the LAB usage. 
250813 - ongoing
250826 - Dimensions for UV steralization and Bio-Reactor for 20L and 200L. ",2025-09-02,,,,,
FALSE,,,BUSINESS CONTINUITY,UPDATE THE BIZ CONTINUITY,,"For Review of the DOC file, and INCLUDE - for CGG. 
240731 - Share Editable Version for Commenting
240807 - Share the outline what the BC should cover. Identify the Operations - create table what kind of interruptions/disruption we should be able to overcome. 
240821 - asking for BC draft - 
240828 - BC after Sept
241008 - BC draft for Analysis
241016 - BC share. 
241019 - BC for update
241120 - BC for update - required by Clients. Business Impact Analysis. - Send to Justin. 
241127 - BIA format.docx   
241211 - Target Jan 15. 
250108 - for Analysis. 
250115 - For filling up the BIA 
250219- for schedule
250305 - BIA assign to Iggy to help me. 
250312 - Schedule review of BIA requirements with IGGY
250326 - for turn over to Iggy 
250411 - for turn over to Iggy update 
250423 - for requirements of the Biz Impct Analysis - for Update. 
250430 - Iggy and Jenny - discuss the BIA form for filling up. 
250514 - Schedule after Audit
250521 - BC plan requirements - Start with the ISO requirements - Low Hanging Fruit - as basis for Funding a More professional goal. 
250528 - delayed - sick leave4 -
250604 - for schedule
250702 - deferred for Aug - with Iggy
250806 - part of the ISO Biz Plan - Per department - Memo it will be required - Announcement. 
250926 - IT's biz continuity (https://next.comfaccorp.com/s/zTmM7pGjW84r5eM) can be used as a basis with PLANT. 
251008 - scheduling
251015 - for schedule, for training
251112 - biz continuity plan Q1 check list - https://docs.google.com/document/d/1URPJ3w_lS14NffuyjQEgOFrOPXvivM2jIb_EH6FeSDY/edit?usp=sharing 
251120 - biz continuity Timeline - 
251205 - schedule it in order of priorities. 
260206 - update of priorities - lines of operation
260220 - business continuity per department; impact of heatwave
260225 - for schedule of meeting; tuesday meeting
260306 - Heatwave - backup aircons; industrial fans
260318 - For Reschedule; factor in Oil price Hike; consider Hybrid Trucks; have good delivery planning
260325 - Deferred to August",2026-08-05,,,"https://docs.google.com/document/d/1URPJ3w_lS14NffuyjQEgOFrOPXvivM2jIb_EH6FeSDY/edit?usp=sharing
- https://erp.comfac-it.com/wiki/business-continuity ",,
TRUE,,,Pressbreak Ermaksan broke,Presbreak Delem module broke,,"240703 - ask if Ermaksan can reinstall the module.  If they cannot do it remotely, send it to them for reinstallation. Worse case - give a manual and we wil look for the software ourselves. 4 weeks. 
240710 Go directrly - give Seriel Number, model, Purchased Data, Company name in the email 
240724 - message in Linkedin and Whats app. Use Google Translate. 
240731 Module 190k php. Schedule for Backup. (VIrtualize). 
For schedule the Backup.  For schedule Biesse remote service after - the system is backedup and we can check if the back up is working (VM). 
240807 PMC inquiry. Use Gialexa contacts to access Ermaksan
240821 PMC for schedule - reschedule
240828  service@ermaksan.com.tr .  
240904 - PMC waiting for quotation
240912 - Follow up PMC
241008 - Quote Ermaksan - Accounting Information sheet. 
241016 - waiting for landed cost. 
241023 - PRed for PO. 
241106 - paid (for delivery)
241120 - parts arrived, scheduling installation. Target Nov 23-24
241127 - installed - for Schedule PMC callibration
241211 - Closed done and working",2024-12-04,,,,,
TRUE,,,WEM,DOLE Visit on WEM,RODEL,"Ensure we are prepared for the WEM. June 26. 
LIST ITEMS for preparation - requirements of WEM 240620
240626 rodel's Action Plan
240703 Waiting for Dole report - follow up and timeline
240710 Follow up DOLE. 
240724 ?? 
240731 - Scan and Send the Results - Give your action plan. 
240807 - for scanning and sharing 
240821 - shared - need to plan the Compressor Area. - list all the CE related tasks - and create a Job description and PR for this. 
240828 - OJT sanitary. for CAD PC set up. 
240905 - OJT CAD PC for set up
240912 - OJT sanitary PC being set up - also talk to Joy Pajarillo for tasks. 
241008 - PC follow, Schedule for Joy Pajarillo 
241016 - follow up Delivery 
241023 - For Upgrade the PC - and Follow up PC. 
241106 - PC installed last week
241120 - Ventilation: Areas that are hot, Louvers need to install.  Target Timeline - JAN 8
250108 - Ongoing Modification. Due date Jun 2025 need to finish by April. Ventilation
250212 - Feb 17 target. 
250219 - Reschedule Ventilation of Louvers. Customized FAN. Backup Fans? AIRCOn - Every month during heat wave season. Back up aircon for hotswapping. 1.5hp is needed. 
250226 - Backup Aircons - 1hp 22k, 2hp 30k. - use midea as a parts. - can we request. 60k budget. request a budget for 2. 
250305 -for approval -proposal. 2hp. Our team can hotswap. 
250312 -ENRICH AIRE GMAIL <enrichaire1008@gmail.com>  Lino Hao <linohao@yahoo.com>, other supppliers
250326 - No more stock ofr MIDEA - 2HP. Follow up quotation. Compressor is cleaned frequently and regularly. 
250411 - for Payment of the aircon 
250423- For payment of Aircon. Follow up - Metal has a problem. 
250430 - follow up SPLD payment - 
250514 -No SI - no payment. follow up Supplier 
250521 - Supplier SI - for check delivery to plant
250528 - delivered - testing. COST effective our own storage of Coolant and Pump cleaning. Pressure check quarterly x15+ aircons.  
250604 - Ducting is Measured - doing a new calculation for 3 Spray booth.  2-3m/s  (8-14m/s main - it becomes 2-4m/s branches, and then filter makes 2-3m/s) . (OJT did plumbing layout). For Testing -  1 blower to 3 ducting branches. 
250611 - Duct waiting for payment
250625 - Ducting follow up RFP - 
250702 - For start this Friday
250709 - ongoing
250716 - ongoing works in the DUcting - Sanding and Finishign Area
250723 - resume Friday
250730 - Ongoing - blower cement base. Ceiling modifications needed
250806 - Ongoing - 
250813 - WEM - on the 22 for verification - we need training for WEM for inhouse monitoring. aircon and training for Aircon Training - Midea and Daikin for certificaiton courses. Dryiers. 
250826 - Dryers will train - for Schedule. RFQ
250905 - Dryers the Company will train our Staff. For follow up
250919 - Attachment for the ICE 
250926 - rodel for Update and for training
251008 - follow up ordel for deliverables. ",2025-10-03,2024-06-26,,https://drive.google.com/file/d/1n4jqWLcQGdOVfIUxTudlwmERJ7ZXhLKv/view?usp=sharing,,
TRUE,,,BOTH ROVERS are down,"POwer interruption occured, bringing the ROVER A both down.  2009 and 2018 rovers. ",,"ROVER A 5-Axis is Working. 
ROVER A 3-AXIS down - Follow up replacement parts follow up
Contact PMSK for quotation    
Submit Proposal  240620
 Ongoing proposal 240626
Final Proposal 240703
Being Signined by Sir Rey 240710
Working 240724",2024-07-17,,,,,
TRUE,,,INSULATORS AND COOLING PAINT,"REVIEW as tempratures rise, assume that heat waves will be more frequent and way of life - ",,"Study if we need to consider more cooling protocols for safety. 
Ask for proposal or wilcon to get pricing and effectivity. 
BUy a batch for Testing 240529 - work with QA for the methodology of testing. 
240821 - Sample Paints for Testing which cooler. 
241211- Testing - if we implement it March. 
250115 - moved to purchase sample paints by FEB, to be tested during the heat period. 
250226 - request for Budget for the paints.
250305 - budget should be 1 galon 1,200php. (x2 the roof paint) - Admin create a model. in the Batch Type. get the temprature - 1 week average. 
250312 - Batch type 42C temp no humidity - for purchase the temp + humdity sensor. 
250326 - check if we can use Milken carpets as insulators under the roofs so the heat doesnt bleed into the structure. Quotation for Gian
250411 - Ordered
250423 - arrived - Testing and Measurement
250430 - for Applying the PAINT
250521 - This week - 
250528 - ongoing - painting again
250604 - ongoing tests and measurement
250611 - 75% done
250625 - painting done - testing temprature. to compare - buy a Laser Thermometer
250702 - PR - 
250709 - Laser Temp thermometer. 
250716 - thermal imaging PR - get an Image of the Machine in Normal Operating Conditions. 
250723 - PRed follow up PO
250730 - thermal camera - payment? 
250806 - follow up thermal camera 
250826 - follow up camera
250905 - follow up camera
250919 - waiting for the camera
250926 - Thermal Camera  - follow up. 
251008 - Thermal Camera - follow up purchasing. 
251015 - Follow up SPLD
251022 - thermal Camera arrived (251022)
251029 - for schedule Testing - Nov 5.
251105 - thermal camera testing - 
251112 - for schedule. 
251120 - thermal has been used for electrical -  for schedule when its sunny. 
251126 - thermal analysis - https://www.youtube.com/results?search_query=thermal+analysis+for+leaks+ needs to upgrade full shutdown. 
251210 - thermal analysis - SOP Monitoring - Monthly. Save and Print a REference Heat Profile of Machinery and Panels. Using it during rain- Scan of ceiling for leaks only for low ceilings. 
260107 - thermal analysis - roof analysis (its bluer). 
260206 - for schedule
260220 - for schedule
260225 - for schedule this week
260306 - scanned roof using Thermal scanner; thermal scans show a 7.4°C difference in temperature; for recommendation of cooling paint",2026-03-11,,,,,
TRUE,,,ADDITIONAL SOLAR,SOLAR ROI calculations 240507,,"For Bidding, 100KW additional capacity.  DRAFT by 240515
Creat BID Documents - foCornersteel Systems Corporation - Proposal - November 5, 2024.pdfCornersteel Systems Corporation - Proposal - November 5, 2024.pdfr approval. Lets publish the Bid Document in our - Linkedin, FB page, etc... 
SOLAR ROI calculations 240507 - Create a Bidding Document - for requirements. Update the bidding documents - A living document. 
Bidding documents ongoing 240522
Bidding Documents / Terms of Reference 240529.  Pictures of our roof, Drawings and Dimensions of the Roof, facing angle sa map, 100KW additional and option for 100KW.  - wiring diagram. Spreadsheet use to consolidate all the bids. (factor the civil works needed for the additional inverters). Ability to process the ability to sell or excess electricty. 
Use the Bidding documents to control changes to the Requirement and future historical document. 240613
240620 SOLAR BIDDING - call Bern for carbon Credits sale - 240620
Electronic Form - See example of 2019 bidding for Internet 240626
240703 - 0-export program. Facilitation of 0-export program. Contact our Account maanger. Placement of solar panels. 21% module efficiency - include the cost of Roof Reinforcement. 
Roofing Reinforcement Bidding Documents. 
Battery cost - request for quotes and specificaitons. 
240710 - Contact MERALCO -  Jerone A. Acierto <jaacierto@meralco.com.ph>; Yvonne Kate A. Benitez <ykabenitez@meralco.com.ph>; Jim Francis A. Dela Cruz <jfadelacruz@meralco.com.ph>; Shaine L. Gonzales <slgonzales@meralco.com.ph>; Lazer Joy B. Cueto <ljbcueto@meralco.com.ph>; Biz Partners- South Admin2 <biz.partners.south.admin2@meralco.com.ph>

240724 - Bidding Documents final check. MERALCO - 0-export Program. If no one will add it to their scope, we have no choice but to do it ourselves. 
240731 - Invitation to bid  included with the form. (there is a link to each other). 
240808 - Invitation to Bid for Solar Panel Installation  Meralco - passing us around. For applying 0-net metering. Timeline. 
240821 - structural Analysis - for Quotation. Freyfill and other Bidders. Fix the 0-exports
240828 - share the post Janstro, + other solar. 
240904 - CSC Invitation to Bid for Solar 100KW Panel Installation -240815.pdf 
240912 - structural Analysis additional scope. Chappy contacted. Visits scheduled. 
241008 - Pending Quotes - 4 have visited. Papers for Zero Net. SOLARIC - bidding conference. 
241016 - GMBD contract. for every day follow up. 
241023 - getting VENDOR details
241106 - waiting for quotation  
241120 - all quoted 400-500KW - 4M-6M. share the Folder of the Bids. from 80,000/KW to 40,000/KW
241127 - Estimate by the Vendors.   
Cornersteel Systems Corporation - Proposal - November 5, 2024.pdf  Review numbers.  Additional Solar PV 
241211 - 3 bidders. 3rd bidder is very different.  Include structural works.
241218 - 16+4M - AA add power monitoring systems. 
250108 - For Order the Solar and INverter - while the Structural Analysis and Roofting is ongoing. 0-Net Metering.
250115 - Weights of the Solar + O-Net Metering movement. + RJ's quote for the 500KW of sensors 
250122 - BGCS - strucutural analysis 621k, NET metering (Meralco), 
250205 - structural analysis BGCS-621k ZTO-for quote, CEC-for Quote Net metering (contact meralco)
250212 - structual analysiz ZTO visited. for quotations and proposals. 
250226 - 
250219- Structural Analysis - JCC - visit Site tour 1-2mo. structural analysis. BGCS - rebound test and rebar test. Non-destructive test.  Challenge is suppliers. 
250226 - SPLD - structural analysis suppliers. https://www.bydph.com/products-and-services/ explore.  https://chatgpt.com/share/67bec8e8-c178-800e-9a6b-a79d67aa2d22 
250305 -JCC for submission. + Mercalo help service Net-metering. Synergy - Limiter. Battery big enough to store our extra. QUote the Rewiring of the Inverts and the Meralco - to the groto. Check the law how much. 
250312 - Cost benefit analysis of Maam Letlet. Create proposal for Supplier. 
250326 - Ask Rowi and Iggy to help follow up (emarevalo@comfac-it.com) ask them to help follow up - meralco and other suppliers. We have 4 bidders - Structural - Waiting 
250411 - For Downpayment of Structural - Starting Next Week
250423 - talk to our Merlaco Rep - give example of Other projects
250430 - Meralco Meeting - MOA - ask them what would help them process our requirements faster and make it easier for them to respond to us. 
250514 - Structural Analysis ONGOING - die penetration test, pedestal, Welded Joints. Roof included - Scope of Structural analysis - discussion with supplier
250611 - Waiting for bidders updated quotation",2025-09-02,,,,,
TRUE,,,WINDOWS LEAKING,"REplacement of Farlins, Caulking and Gaskets. Machine Shop and MRF",,"Waiting for Roofing to be done 240703
240828 Downpayment for release 240829
240904 - follow up down payment
240912 - ongoing, scaffolding set up. 
241008 - for Inspection
241016 - for last checking. 
241023 - done",2024-10-23,,,,,
TRUE,,,Additional LOUVERS in CUSTOMIZE LAMINATION AREA,"Record breaking heat wave, Customized Lamination Area is requesting for Louvers to improve ventiliation",,"FOR INSTALLATION 240515. 
Currently at painting, 
For Assembly 240522 - target installation 240524-240525
delayed 240529
To be finished 240613. 
On HOLD for LEAKS
240626 for WO 
240703 - roofing was prioritize. 
240820 - hold, priority roofing
240828 - priority projects. Est. Start Sep 18
241008 - target Nov 11 
250108 - for resched
250305 -thsi sunday
250312 - metal is done. mar 16 Painting, Mar 23 customized. 
250326 - March 30
250411 - For schedule 
250423 DONE",2025-04-12,,,,,
TRUE,,,WAREHOUSE INVENTORY CHALLENGES,"What are the challenges that prevent WH from doing stock counts as they withrdraw, and maintaining the bincards: 
Problem Statement: ERPNEXT use in stocks has problems because they cannot withdraw when there is no balance. 
Reasons that have been given are the following: 
1) Time it takes to call suppliers to follow up.  it is displacing Stock Count. ",,"For evaluation or approval.
For fabrication  240417
for installation of Louver 
May 10 target of start 240424
BOM and WorkOrder demo for production - May 15. Set expectations of how much it will improve. 
Begin with FAST MOVING 240613
240703 - we discovered Suppliers and Items - refresher on the how to use the reports.  Schedule training. Proof that the ARIES RR and MR/MRS information about suppliers is inaccurate. If true, we will overwrite it with an approved report from ERPNEXT - and we can proceed with automation. 
240828 REVIEW returns proceedure. for demo. 
Stock count 240904
240912 - consolidation of Items. Year end count ongoing. 
241016 - Contractual Recruitment. 
241023 - Applicant 1 has been acceptd, for interview. Was only able to get IT.  
241120 -CJ, Gretchen is back, and 1000 items this week was removed, Amina joined and she will PID and WH. AI automatioin of PID. 
241127 - CJ onboard, Gretchen is back, Annual Stock Count concluded. main challenges are - RR is not connected to PO. A lot of RR to PO reconcilation.  Main problem is ITEM CODE of Departments. ",2024-12-04,,,Bin card is remaining balance. ,,
TRUE,,,Internet for Staff House Room. ,Prepare the Staff room for OJTS.,IT and Maintenance,"Doublecheck Tech Center for Window Type. 
Quote an Aircon 0.5hp for the room. 4 people. ",2024-02-07,,,,,
TRUE,,,"THickness Planer, Wide Belt Sander, replacement for 30 year old unsupported equipment. ",Replacement of 30 year old equipment. ,,"Arrival May 25, 
PR the thickness planer and Jointer - QUOTES > Proposal* > PR 240529
For Transformer. Lack of options send me the Quotations 240613
PR for Transforms JULY 15. 
240724 Returned as the Transformer was wrong specifications
240731 Follow up the Transformer
240807 - For Pickup of GIAN in markina (by TC), Shipping pick up in TC
240821 - Testing of the Wide Belt Sander. 
240828 - test discovered dust trips the planer - higher than usual frequency of cleaning
240904 - new breaker ordered. Sept 10 for arrival. 
240912 - installed",2024-09-11,,,"San Juan Wide beltt
Used Widebelt Sander 
talk to RJ to examine it, for schedule at Feb (after we proof of concept the 3F Monitoring system). He will see what it will take to fix it. If they can fix it - we can budget fixing it. ",,
TRUE,,,"SANDERS, orbital sanders",FINISHING and PRODUCTION. Portable hand tools. ,Maintenance,follow up Repair timeline. ,2024-01-06,,,"20k each, 10k repairs. ",,
TRUE,,,Tablet for SHIPPING,Workaround Borrow Tablet. Long term solution tablet with Ruggedized Case with Lanyard,,PR and Borrow Lenovo Tablet. PR also the Case and lanyard,2023-11-16,,,,,
TRUE,,,WELDING MACHINE ,"Pulled out, 2 Weeks 231114 to 231128 for one machine. Next 3 Welding machines returned",,"Follow up Confirmation of timeline.
2 units will be delivered 231121, 
2 more units for schedule",2023-11-28,,,,,
TRUE,,,LFK TRAINING,for Laser and other Equipment,,For Sched. ,2023-10-25,,,,,
TRUE,,,MTX Turret EUROMAC,"Leaking Hydrolic Oil, ",,"Glen of FIS will provide replacement spring. follow up glen for timeline 231121
Glen said by 231124",2023-11-24,,,"large leaks, inspection of the parts - rubber/plastic oil seal has broken. ",,
TRUE,,,L300 for Repair - UKE-823,L300 for Repair,,"250108 - L300 assess problems, for quotations outside repairs. 
250115 - For assessment of Cost of L300, Diagnosis - 
250122 - for diagnosis Schedule
250205 -budget for approval
250212 -callibration - 
250219 - Recallibrated and Exhaust Compliant. ",2025-02-26,,,,,
TRUE,,,BUILDING INSPECTION (OJT CE),"During the ANUAL BUILDING inspection. 
We need a building plan - 
We need structural Integrity check. ",,"Coordinate with SPLD for Quote of Sy Squared 240417
Creating the As-Built Plan - who will create this. 
Find out the Timeline and Deadline 240424. 
Building Plan - As BUILT drawings. 240509
Talk to Gina about the CAD - PRF for the drawings - use FREECAD NCO number for this.  Branded (Zotac/ETc... RX 5000series GPU for this). 
TECH center will be the source of it. Look for applicants. 240515
Coordinate for HR and creation of PRF and JD for this 240522. 
For checking and submission 240529
Follow up HR (Both Contractual and OJT) 240613
CAD Building Inspection PRF 240620
240724 Ordered PCs for this - for Follow up (we may need 3 more). 
240731 emailed May Villegas of PUP for OJTS (get to know the Professors in charge) rlalfonso@pup.edu.ph is with ME
240823 JRU follow up. PUP San Juan. 
240904  Follow up Schools for other options
240912 Make do with the OJTS we have. 
241008 AS Built for PLANT  
241016 For PR - follow SPLD 
241023 - for comparative bids
241106 - waiting for the bid of other contractor
241120 - 180 to 169k BGCS, 180k Engineer No Sales Invoice,    
241127 - verify the numbers of the Supplier. Work out the 
241211 - ongoing - CAD drawings. 
241218 -structural analysis. planning for 20-30 year structures
250108 - Waiting for Structural Analysis - ask for timeline
250115 - follow up Weight of the Solar
250122 - As Built finished - Paper Work for the - Contingent on Structural. Annual Inspection Report is now the requirement. Office of Business Officials of Cabuyao (OBO) Building Permit. Demolition Permit and Extension Building Permits. 
250205 -Papers needed
250212 - Plumbing and Ducting. Air Piping. Piping layout. FreeCAD demo of BIM. 
250226 - OJTs will do this. Waiting for OJT. 
250305 - OJT started today
250312 - Layouted the Power Piping - for 3D ok. 
250326 - Ongoing
250411 - ONgoing OJT As Built - Power Pipping and Building Inspection
250423 - ongoing 3d 
250430 - Annual Building inspection - Ongoing 3D - Structural Integrity - Foundation Test and Die presentation Preset. Scaffolding for Beam testing 
250521 - ongoing 
250528 - Structural test ongoing - Cleaning of Posts and Columns. this friday. June 5, OBO - Site Development Plan - NCO. 2D plan of the plant. Surveyor. 
250604 - dry penetration this week. OBO June 5 Thursday tomorrow
250611 - Building nspection done (target AUgust all compliance)
250625 - as Built - waiting for CIVIL ojt
250702 - 1 ojt so far. Following up for more. 
250709 - AS built and Structural ANalysis - die penetrtion and non-destructive testing of column. 
250716 -Ongoing - H frame scaffolding
250723 - On hold due to the storm
250730 - Resuming Structural - Coring is being done - concrete base will be tested
250806 - Foundational Analysis ongoing 
250813 - sunday was digging - rescheduled - rescheduled 15 aug
250826 - finished all. for report and recommendation. First and Final Report. 
250905 - follow up Structural Analysis Vendor - waiting for Final Report. 
250919 - Waiting for final report (next week)
250926 - follow up final report
251008 - sent to TPDD for evaluation. 
251015 - for As-built of the remaining buildings
251022 - Sign and Sealed of the Drawings
251029 - Who will sign and seal drawings - Inquire Makati who. What are the documents for signing. 
251105 - PRed
251112 - Pred asbuilt
251120 - OBO - mechanical plans are missing. Building inspection for WH, Staff house, and Admin has been PR 
251125 - all mechanical plans need to POed for signing. 
251210 - ongoing ME Plans. 
260107 - ongoing ME plans target This week. 
260206 - for PR of the next stages
260220 - for submission of quotation for structural integrity of WH, Staff house, and Admin; on hold submission of quotation",2026-02-25,,,"What is the timeline for the Annual Building inspection? 
What is the impact? - 
",,
TRUE,,,3D PRINT- Prototype NETBOX and Various other COmponents ith 3d PRinter,"Identify what products we can Prototype now that we have: 
1) 3d Printers that can make custom plastic parts and connectors. 
2) ECEs and ESCO who can help with the electronics consulting - 
The Netbox which is difficult to source may be easier to make since its a Collection of Sockets for USB, Power, Network which just requires Custom Housing",Production. John Karol ,For Quote of Services,2024-05-15,,,"Bracket. 
Netbox 
Following Up Enclosure",,
TRUE,,,LFK Turret,Solinoid Valve is vibrating and leaking. For Replacement,,"2-Weeks replacement starting 231115 to 231129. Follow up Timeline.  
Waiting for arrival 231206. 2Weeks additional request. ",2023-12-20,2023-12-06,,,,
TRUE,,,LFK small Bender/Press Break,"Tool and Die are not aligned, for recalibration",,For recallibration later,2023-11-08,,,"for observation, because we dont know what caused the misalignment",,
TRUE,,,LFK Bender/Press Brake,"Controller is corrupt, the system is having a Boot Loop. ",,"For PO. FOr installation 231115 but as of writing, not yet arrived. ",2023-11-16,,,the part is old. ,,
